,ITEM_NAME,ITEM_BRAND,ITEM_PRICE,ITEM_IMG,CATEGORY,ITEM_STATUES,YEAR,MONTH
23,Cetaphil Soap For Dray & Sensitive Skin 127 gm,Cetaphil,39.9,"https://www.nahdionline.com/media/catalog/product/1/0/100563564_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
24,Dettol Soap Sensitive 165 gm,Dettol,8.86,"https://www.nahdionline.com/media/catalog/product/1/0/100524645_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
25,Dettol Hand Wash Original (Pump) 250/200 ml,Dettol,15.7,"https://www.nahdionline.com/media/catalog/product/1/0/100523790_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
26,Cebelia Softening Soap For Face & Body 150 gm,Cebelia,61.95,"https://www.nahdionline.com/media/catalog/product/1/0/101255580_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
27,Sebamed Soap Clear Fase Cleansing 100 gm,Sebamed,22.05,"https://www.nahdionline.com/media/catalog/product/1/0/100548698_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
28,"Johnson Vita Rich Bar Soap Coconut Milk,Peach & Yogurt 125 g",Johnson & Johnson,3.68,"https://www.nahdionline.com/media/catalog/product/1/0/101228362_0_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
29,Dove Nourishing Hand Wash Shea Butter & Vanilla scent 500 ml,Dove,23.5,"https://www.nahdionline.com/media/catalog/product/1/0/101222235_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
30,Beesline Whitening Shrink Soap Bar 110 gm,Beesline,68.25,"https://www.nahdionline.com/media/catalog/product/1/0/100838311_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
31,Qv Soap Refresh For All Skin Types + Gift 100 gm,Ego,40.95,"https://www.nahdionline.com/media/catalog/product/1/0/100993185_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
32,Lux Hand Wash Tempting Whisper 250 ml,Lux,9.41,"https://www.nahdionline.com/media/catalog/product/1/0/101129284_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
